,a,b
143,"[-1505.50369214344, -3388.1797623004036, 1110.8892218885064, -195.81893030308228]","[5.13669941462176, 11.576901387792791, -3.774727699461106, 0.6652492226105414]"
144,"[-1147.9956974437823, -200.32396823456432, 1190.9220240326017, 52.4461946539644]","[3.903561913512556, 0.680950613480234, -4.042999275563358, -0.1735875331477989]"
145,"[466.7086419601056, -620.0634741054388, 713.9818081703152, -122.28260888588645]","[-1.594605395555232, 2.114987000042506, -2.428842622180667, 0.41682177723349434]"
146,"[430.6113774615721, 67.21709288193955, 165.83694434162797, -169.1071921558118]","[-1.4756010294004174, -0.23224192072409258, -0.5666281570342473, 0.5737864237752066]"
147,"[979.9592363209583, -153.30503347484412, 78.16123734030707, -684.2987030345581]","[-3.3486771389571564, 0.5216829803727645, -0.2693365815950999, 2.304868223500103]"
148,"[-371.0775927920212, -294.3660941750358, 315.10605361681195, -737.4990889098417]","[1.2611090582439575, 0.9964343446919197, -1.0673930359825867, 2.476936493327511]"
149,"[96.06905533302344, -85.12032261997896, -71.21995540338662, -298.94992335447216]","[-0.32766104116334027, 0.2873179512680643, 0.2326262694984516, 0.9977266924258489]"
150,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
151,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
152,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
153,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
154,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
155,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
156,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
157,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
158,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
159,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
160,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
161,"[-186.10599261557238, -113.94242939576338, -597.4960138566291, 725.9852545004642]","[0.6224026807285289, 0.3870554385482172, 1.9859480456153604, -2.399472890747524]"
162,"[277.3729995565645, -314.8260568648167, -787.2689510593721, -219.7530348152558]","[-0.9257114068079036, 1.0528601501305586, 2.618384136704866, 0.731058831541076]"
