,a,b
253,"[2039.5997909978973, 1482.7109406261939, -3305.024231701772]","[-6.826444570608756, -4.98822506004048, 11.07203719273508]"
254,"[3246.5502995485617, -316.41071876831, -2614.08300128754]","[-10.903386576294611, 1.0467799583873265, 8.755358360959743]"
255,"[4213.074263372888, -212.71633307464504, -2686.379688591359]","[-14.169151913738272, 0.6977047907774724, 8.977433574689043]"
256,"[3543.196091283934, -418.2161243448714, -2410.983934108828]","[-11.909726275939576, 1.3865963774993997, 8.064968215926092]"
257,"[2005.9491107579386, 180.25276535495976, -1443.7796450231656]","[-6.762238640261014, -0.622704909073551, 4.897465552529197]"
258,"[nan, nan, nan]","[nan, nan, nan]"
259,"[nan, nan, nan]","[nan, nan, nan]"
260,"[nan, nan, nan]","[nan, nan, nan]"
261,"[nan, nan, nan]","[nan, nan, nan]"
262,"[nan, nan, nan]","[nan, nan, nan]"
263,"[nan, nan, nan]","[nan, nan, nan]"
264,"[nan, nan, nan]","[nan, nan, nan]"
265,"[nan, nan, nan]","[nan, nan, nan]"
266,"[nan, nan, nan]","[nan, nan, nan]"
267,"[nan, nan, nan]","[nan, nan, nan]"
