,a,b
233,"[-3224.247807774317, 27811.300407028186, 10484.598947637518]","[10.654078306831014, -92.24136373782912, -34.819799662507144]"
234,"[-5571.225528377702, 37873.58370598453, 4493.187593934578]","[18.46307623185005, -125.67709191528766, -14.949180217537979]"
235,"[-929.8020295330936, 10367.511656934725, 6966.566707539656]","[3.048081325772584, -34.42207862652958, -23.181574748501177]"
236,"[-6963.311376833926, 13397.83031612452, 4241.7178517108305]","[23.142605452282858, -44.55192039803214, -14.141325000265153]"
237,"[601.9554750559108, 5680.699834980593, 424.97366453554537]","[-2.0290044011022172, -18.908613041396013, -1.4525750614671091]"
238,"[-1113.5453479003454, -18417.10777251621, -1916.6860338917625]","[3.6963808649161503, 61.32020630664589, 6.34465393978852]"
239,"[1232.5177871154747, -11639.902287630746, -4250.5786787719]","[-4.126234864964946, 38.78462884182661, 14.128370234894568]"
240,"[676.8515032346298, -5540.32353330638, -5684.9718807723775]","[-2.2748997501295403, 18.471147010858, 18.93268931896362]"
241,"[355.523058866939, -8450.751550997873, -7008.712016076226]","[-1.2021776611119022, 28.21052824491675, 23.367999883542566]"
242,"[129.33403363844826, -3080.112001525322, -10368.134113522065]","[-0.4373878562537828, 10.285630766727593, 34.59970854880111]"
243,"[2085.822631540909, -9114.51513246423, -8388.385913371998]","[-6.986415331948401, 30.502102188068637, 28.036471323625896]"
244,"[2642.47944201549, -1265.6487810813935, -6358.871450115691]","[-8.864997145856448, 4.258439985249272, 21.272415072634452]"
245,"[2664.1251772656065, 15284.579485019303, -4478.642680404069]","[-8.940862722994705, -51.20641331530503, 14.98518083425305]"
246,"[2730.6763843515723, 3017.0550305315937, -3490.8271476040836]","[-9.18006745925437, -10.097157855942616, 11.687595610810485]"
247,"[2943.4043238281893, 4433.174794975456, -5976.52875122512]","[-9.910291724619881, -14.884813430200527, 20.01449072235554]"
248,"[1590.7712355837973, 1266.980509027302, -10531.723270892042]","[-5.363109714330726, -4.252788175376215, 35.27474205659553]"
249,"[282.46407637506394, 1325.0225151051147, -11947.467655531642]","[-0.9552688428128678, -4.452813870636847, 40.031829662392596]"
250,"[889.490796552471, 3161.9661919134865, -5680.6576048268125]","[-3.0033064258114983, -10.621640861851695, 19.04778727421543]"
251,"[1865.3969801961484, 160.85615555324972, -4671.957322746713]","[-6.300939435687353, -0.5361913021008186, 15.651934004308126]"
252,"[1858.7368502011498, -1834.1203351293516, -3620.2882642353065]","[-6.292016725292587, 6.1681664316398, 12.097125803492661]"
253,"[1615.8635945216604, -2573.8204238860585, -3349.5217971246343]","[-5.469829906244475, 8.638784914861459, 11.18231563883813]"
